Rank,Name,SMILES,Probability,Flavonoid
1,Compound1,COC1=CC(CC2C(CC3=CC=C(OC)C(OC)=C3)COC2=O)=CC2=C1OC...,1.0,Yes
2,Compound2,CCC(C)C(=O)C1=C(O)C(CC2=C(O)C(C)=C(CC)OC2=O)=C(O)C...,0.98,Yes
3,Compound3,COC1=CC(CC2C(CC3=CC=C(O)C(OC)=C3)COC2=O)=CC2=C1OC(...,0.96,Yes
4,Compound4,COC1=CC(CC2C(CC3=CC(C(CO)C(=O)C4=CC(OC)=C(O)C=C4)=...,0.96,Yes
5,Compound5,COC1=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC=C(O)C(OC)=C2)=...,0.96,Yes
6,Compound6,COC1=CC(CC2COC(=O)C2CC2=CC=C(O)C(OC)=C2)=CC2=C1OC(...,0.96,Yes
7,Compound7,COC1=CC(CC2C(CC3=CC=C(OC(CO)C(O)C4=CC=C(O)C(OC)=C4...,0.96,Yes
8,Compound8,COC1=CC(CC2COC(=O)C2CC2=CC(C(CO)C(=O)C3=CC=C(O)C(O...,0.96,Yes
9,Compound9,COC1=CC(CC2COC(=O)C2CC2=CC=C(OC(CO)C(O)C3=CC=C(O)C...,0.96,Yes
10,Compound10,[Mg++].COC(=O)CC(O)C1=C(C)\C2=C\C3=C(C=C)C(C)=C(N3...,0.95,Yes
11,Compound11,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(COCC1=CC=CC=C...,0.94,Yes
12,Compound12,COC1=CC(CC2C(CC3=CC(OC)=C(O)C(=C3)C(CO)C(O)C3=CC=C...,0.94,Yes
13,Compound13,COC1=C(O)C=CC(CC2OCC(=O)[C@@H]2CC2=CC(OC)=C(O)C(=C...,0.94,Yes
14,Compound14,COC1=CC(CC2COC(C2CO)C2=CC=C(OC(CO)C(O)C3=CC=C(O)C(...,0.94,Yes
15,Compound15,CCC(C)C1NC(=O)C2C(CCN2C(=O)C(CC2=CC=CC=C2)NC(=O)C(...,0.92,Yes
16,Compound16,CCC(C)C1NC(=O)C(NC(=O)C(CC2=CC=CC=C2)N(C)C)C(OC2=C...,0.92,Yes
17,Compound17,COC1=CC(CC(CO)C(CO)CC2=CC=C(OC(CO)C(O)C3=CC=C(O)C(...,0.91,Yes
18,Compound18,CCC1=C2NC(C=C3N=C(C(CCC(=O)OC)C3C)C3=C4N=C(C=C5NC(...,0.89,Yes
19,Compound19,CCC1=C(C=O)C2=N\C\1=C/C1=C(C)C3=C(N1)\C(C(C(=O)OC)...,0.89,Yes
20,Compound20,[Cu++].CCC1=C(C)C2=N\C\1=C/C1=C(C)C(C(O)=O)=C([N-]...,0.88,Yes
21,Compound21,COC1=CC(=CC(OC)=C1O[C@@H](CO)[C@@H](O)C1=CC(OC)=C(...,0.8781257373806894,Yes
22,Compound22,COC1=CC(=CC(OC)=C1O)[C@H](O)[C@@H](CO)OC1=C(OC)C=C...,0.8750346368014372,Yes
23,Compound23,CC(C)=CCC\C(C)=C\COC1=CC=C(\C=C\C(=O)OC(CC\C(C)=C\...,0.87,Yes
24,Compound24,COC1=CC(CC2COC(=O)C2CC2=CC(OC)=C(O)C(=C2)C(CO)C(O)...,0.86482455214872,Yes
25,Compound25,COC1=CC(CC2C(CC3=CC(C(CO)C(O)C4=CC=C(O)C(OC)=C4)=C...,0.86482455214872,Yes
26,Compound26,COC1=C(O)C=CC(CC2COCC2CC2=CC(OC)=C(OC(=O)\C=C\C3=C...,0.86,Yes
27,Compound27,COC1=CC(C=CC(=O)NCCCCN(CCCNC(=O)C=CC2=CC=C(O)C(OC)...,0.85,Yes
28,Compound28,COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\...,0.85,Yes
29,Compound29,[H][C@@]1(C)C2=N\C(=C3\C4=N\C(=C/C5=C(CC)C(C=O)=C(...,0.85,Yes
30,Compound30,OC1C(OC2=CC([O-])=CC(O)=C2C1=O)C1=CC=CC=C1,0.8461661968416885,Yes
31,Compound31,COC1=CC(O)=C2C(O)=C3C(=O)OC(C)=CC3=CC2=C1,0.8431724258370431,Yes
32,Compound32,COC1=CC(O)=C2C(O)=C3C(=O)C=C(C)OC3=CC2=C1,0.8431724258370431,Yes
33,Compound33,OC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC(O)=C(O)C=C1,0.84,Yes
34,Compound34,CCC1=C(C)/C2=C/C3=C(CC)C(C)=C(N3)\C=C3/N=C(/C=C4\N...,0.84,Yes
35,Compound35,CCC(C)C(N(C)C)C(=O)N1CCCC1C(=O)NC1C(OC2=CC=C(C=C2)...,0.84,Yes
36,Compound36,OC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC(O)=C(O)C=C1,0.84,Yes
37,Compound37,OC1=CC(O)=C(C=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1,0.84,Yes
38,Compound38,OC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC(O)=C(O)C=C1,0.84,Yes
39,Compound39,NC(CC1=CC=C(OC2=CC(CC(N)C(O)=O)=CC(=C2O)C2=C(O)C=C...,0.83,Yes
40,Compound40,OC1=CC(O)=C(C=C1)C1COC2=CC(O)=CC(O)=C2C1=O,0.83,Yes
41,Compound41,OC1=CC(O)=C2C(=O)C(COC2=C1)C1=CC(O)=C(O)C=C1,0.83,Yes
42,Compound42,NCCCN(CCCCN(CCCNC(=O)\C=C\C1=CC=C(O)C=C1)C(=O)\C=C...,0.83,Yes
43,Compound43,COC1=CC(=CC=C1O)C(O)C(CO)C1=CC(CC2COC(=O)C2CC2=CC(...,0.8248883058143183,Yes
44,Compound44,N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@...,0.82,Yes
45,Compound45,COC1=C(C)C(C=C)=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C...,0.82,Yes
46,Compound46,CC1=C(CCOP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](...,0.813084448719929,Yes
47,Compound47,NC(CC1=CC=C(OC2=CC(CC(N)C(O)=O)=CC(=C2O)C2=C(O)C(O...,0.81,Yes
48,Compound48,OC1OC2=CC(O)=CC(O)=C2C(=O)C1C1=CC=C(O)C=C1,0.81,Yes
49,Compound49,OC1=CC=C(C=C1)C1(O)CC(=O)C2=C(O)C=C(O)C=C2O1,0.81,Yes
50,Compound50,OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=C(O)C=C1,0.81,Yes
